image_path,label,ocr_text,caption,ocr_length,caption_length,similarity_score,error
E:\Project\Fake News Detection\images\real\1372.jpg,real,"১ দিনবপী পড়ো তোমর প্রভুর নামে, যিনি তোমাকে (জলা কর্মপরিষদ সদস্য বাংলাদেশ সৃষ্টি করেছেন শিক্ু ফরিদপুর অঞ্চল নিষাব",a man in white clothes speaking into microphones,113,48,-0.01335365,
E:\Project\Fake News Detection\images\real\1375.jpg,real,যেট্রো পলিটন শান্তি বলিয়ান,the logo of the myanmar army,26,28,0.180187896,
E:\Project\Fake News Detection\images\real\1381.jpg,real,,gold prices in india,0,20,,
E:\Project\Fake News Detection\images\real\1387.jpg,real,বাইকারদের ক? কারদের ন্যায্য নীতিমালা য্য নীতিমালা নিশ্চিত বাইক থামলে মানুষ শুধু থামে থেমে যায় গতি কাজের কমে যায় কর্মঘণ্টা কথাশুনুন;,people holding signs in protest,133,31,0.040855676,
E:\Project\Fake News Detection\images\real\139.jpg,real,৬,a woman with a rash on her back,1,31,0.055951916,
E:\Project\Fake News Detection\images\real\1402.jpg,real,,a building with a fire in the middle of it,0,42,,
E:\Project\Fake News Detection\images\real\1404.jpg,real,১০১,a man holding a green flag in his hands,3,39,0.003867779,
E:\Project\Fake News Detection\images\real\1408.jpg,real,,a large ship is in the water near a rocky shore,0,47,,
E:\Project\Fake News Detection\images\real\1415.jpg,real,,a flag flying in the wind in front of a tall building,0,53,,
E:\Project\Fake News Detection\images\real\1434.jpg,real,,two men sitting at a table with microphones,0,43,,
E:\Project\Fake News Detection\images\real\1437.jpg,real,জাতীয় অর্থনৈতিক পরিষদ (এনইসি) সভা,the meeting room is full of people and a large screen,34,53,0.062122568,
E:\Project\Fake News Detection\images\real\1445.jpg,real,,chinese president xi xi waves to the crowd as he arrives at the opening ceremony for the 70th anniversary of the,0,112,,
E:\Project\Fake News Detection\images\real\1448.jpg,real,,a man in a suit and tie is walking,0,34,,
E:\Project\Fake News Detection\images\real\1456.jpg,real,,a sign that says happy new year,0,31,,
E:\Project\Fake News Detection\images\real\1459.jpg,real,,bjp candidate raj singh addresses to supporters in lucknow,0,58,,
E:\Project\Fake News Detection\images\real\1471.jpg,real,৪৯ জাতীয় ২০২৬,a young girl in a blue shirt points at the camera,14,49,0.066693865,
E:\Project\Fake News Detection\images\real\1472.jpg,real,,a close up of the head coach of the seattle seahawks,0,52,,
E:\Project\Fake News Detection\images\real\1475.jpg,real,,a man in uniform is standing on the deck of a boat,0,50,,
E:\Project\Fake News Detection\images\real\1478.jpg,real,,a group of people standing next to a red suitcase,0,49,,
E:\Project\Fake News Detection\images\real\148.jpeg,real,"জ্বালানি সাশ্রয়ী যোঢরথান ব্যবহার , বৈদেশিক মুদ্রা সাশ্রয় ও রাজস্ব আহরণ বৃদ্ধির লক্ষ্যে ২০২৬-২০২৭ অর্ধবছরের জাতীয় বাজেটে যৌক্তিক শুল্ক-কর নির্ধারণ যথাযথ আমদানি নীতিমালার দাবিতে সংবাদ সম্মেলন [ংলাদেশ সাসিয়েশন (বারভিডা)",the meeting was held in the village of bhaki,217,44,0.046510473,
E:\Project\Fake News Detection\images\real\1485.jpg,real,,a group of people standing around a man holding a mega mega mega mega mega mega mega mega mega mega mega,0,104,,
E:\Project\Fake News Detection\images\real\1488.jpg,real,,the logo of the bangladesh bank,0,31,,
E:\Project\Fake News Detection\images\real\149.jpg,real,সাধারণ সভা ও পুনর্মিলনী-২০২৬ (ঙ সারস Suulid Audiu,the dignitariess of the national assembly committee at the inauguration ceremony,49,80,0.10840565,
E:\Project\Fake News Detection\images\real\1493.jpg,real,,a man stands in front of a burning car,0,38,,
E:\Project\Fake News Detection\images\real\1495.jpg,real,,two children sitting on the ground in front of a building,0,57,,
E:\Project\Fake News Detection\images\real\1498.jpg,real,,a group of people holding up a sign,0,35,,
E:\Project\Fake News Detection\images\real\1514.jpg,real,11 9 19,wales ' s jamie hensford celebrates his goal against ireland,7,60,0.103939921,
E:\Project\Fake News Detection\images\real\1516.jpg,real,আটোমেটেডভূমি বাবস্বাপলা: তনতামূলক সভা ইমলাম হার; উপঙে,a man signing a document at a table,53,35,0.068456851,
E:\Project\Fake News Detection\images\real\1521.jpg,real,রেলওয়ে জেলা পরিত্যাও,a man standing next to a pile of bread,20,38,0.041177869,
E:\Project\Fake News Detection\images\real\1536.jpg,real,,two men in pink shirts and blue shirts,0,38,,
E:\Project\Fake News Detection\images\real\1556.jpg,real,,the city of beirut at night,0,27,,
E:\Project\Fake News Detection\images\real\1566.jpg,real,"""Brutan India Bangladesh epal",bjp leader ram ram ram ram ram ram ram ram ram ram ram ram ram ram ram ram ram ram ram,29,86,0.381970167,
E:\Project\Fake News Detection\images\real\1569.jpg,real,জরুরা বিভাপগ mergency,a group of men standing in front of a building,21,46,-0.009467155,
E:\Project\Fake News Detection\images\real\1578.jpg,real,,the ipl trophy is displayed on the field,0,40,,
E:\Project\Fake News Detection\images\real\1585.jpg,real,,a young boy stands in front of a house,0,38,,
E:\Project\Fake News Detection\images\real\1586.jpg,real,,a man with a beard and a white shirt,0,36,,
E:\Project\Fake News Detection\images\real\160.jpg,real,6` অধিদপ্তর স্র,a child with acis on her back,15,29,0.017170813,
E:\Project\Fake News Detection\images\real\1604.jpg,real,,"the minister of the state of telangana, mr narayan narayannath",0,62,,
E:\Project\Fake News Detection\images\real\1608.jpg,real,,people are walking down the street in a crowded area,0,52,,
E:\Project\Fake News Detection\images\real\1620.jpg,real,রঠি রবি h-Bangla রবি রবি রঙি Next PAK,the pakistan cricket team with their trophy,37,43,0.235600725,
E:\Project\Fake News Detection\images\real\1622.jpg,real,,two men shaking hands in front of flags,0,39,,
E:\Project\Fake News Detection\images\real\1628.jpg,real,,a man and woman standing on a balcony,0,37,,
E:\Project\Fake News Detection\images\real\1632.jpg,real,,a man in a white shirt and black vest sitting on a bed,0,54,,
E:\Project\Fake News Detection\images\real\1634.jpg,real,,a man in a blue shirt and hat,0,29,,
E:\Project\Fake News Detection\images\real\1640.jpg,real,অধিদপ্তর চ স্র V,a baby in a hospital with the logo of the bangladesh health organization,16,72,0.190798551,
E:\Project\Fake News Detection\images\real\1642.jpg,real,[@) ববি,bangladesh cricket team captain ravian singh addresses to media after the match,7,79,0.253430367,
E:\Project\Fake News Detection\images\real\1666.jpg,real,RANA 45 PEPS রবি $1,pakistan ' s players celebrate after the dismissal,19,50,0.034355201,
E:\Project\Fake News Detection\images\real\167.jpg,real,,oil prices fall as us oil prices fall,0,37,,
E:\Project\Fake News Detection\images\real\1678.jpg,real,নয় জনাব রেঙওয়ানুর,a man standing at a podium with a microphone,17,44,0.088598363,
E:\Project\Fake News Detection\images\real\1679.jpg,real,,video of the meeting of the imam sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh sheikh,0,130,,
E:\Project\Fake News Detection\images\real\168.jpeg,real,,a woman sitting at a desk with her head in her hands,0,52,,
E:\Project\Fake News Detection\images\real\1688.jpg,real,,police officers check the drugs seized by the police,0,52,,
E:\Project\Fake News Detection\images\real\169.jpg,real,,a woman in a green dress and a man in a black jacket,0,52,,
E:\Project\Fake News Detection\images\real\1693.jpg,real,0{,a group of people standing around a table,2,41,0.03578594,
E:\Project\Fake News Detection\images\real\1697.jpg,real,,people are standing outside of a building at night,0,50,,
E:\Project\Fake News Detection\images\real\1701.jpg,real,সড়ক দুর্ঘটনা,a yellow triangle sign with a black and red triangle on it,12,58,0.206800357,
E:\Project\Fake News Detection\images\real\1706.jpg,real,,a man sitting in a chair with a laptop,0,38,,
E:\Project\Fake News Detection\images\real\1715.jpg,real,,a gaven on a wooden table with a book and a gaven on the table,0,62,,
E:\Project\Fake News Detection\images\real\1727.jpg,real,,a woman in a white dress standing in front of a refrigerator,0,60,,
E:\Project\Fake News Detection\images\real\173.jpg,real,,a fire is seen in the middle of a street,0,40,,
E:\Project\Fake News Detection\images\real\1731.jpg,real,,a woman wearing a gold necklace and earrings,0,44,,
E:\Project\Fake News Detection\images\real\1745.jpg,real,,a white building with a flag on top,0,35,,
E:\Project\Fake News Detection\images\real\1749.jpg,real,স্থপবন্দর থামুন,a man riding a bike past a building,15,35,0.018880084,
E:\Project\Fake News Detection\images\real\1767.jpg,real,,a woman with her face covered in smoke,0,38,,
E:\Project\Fake News Detection\images\real\1787.jpg,real,,a family eating together,0,24,,
E:\Project\Fake News Detection\images\real\180.jpg,real,সংবাদ তারিখ: ০৬ ব্লোত্র: বুধবার বাংলাদেশ জাতীয় সশোর জেলা শাখা ম্মেল,a man speaking at a press conference,68,36,0.080052443,
E:\Project\Fake News Detection\images\real\1800.jpg,real,SHAJCO] PRESRTES Sঝle POND' naturale Deals worth falling for: 03| UP 7/3% NCURECI,a white pedestal with a pink background and a pink background with a white pedestal with a pink background and a,81,112,0.091707394,
E:\Project\Fake News Detection\images\real\1806.jpg,real,,a col of different desserts and desserts,0,40,,
E:\Project\Fake News Detection\images\real\1807.jpg,real,,a plate of fried meatballs with a side of salad,0,47,,
E:\Project\Fake News Detection\images\real\1810.jpg,real,,"the new range includes a range of new models, including the range range range range range range range range range range range range range range range range range range range range range range range range range range range range",0,227,,
E:\Project\Fake News Detection\images\real\1817.jpg,real,,the iphone 11 is a smartphone that can be used for a variety of applications,0,76,,
E:\Project\Fake News Detection\images\real\1818.jpg,real,Memorohdulmof Understanding (MoU) Between Trodomarks (Pbr) BGMCR University of Foshion & Technology torthe Estoblishmentora Technologyond innovation support Centre (risc),two men sitting at a table with a laptop,170,40,0.09102454,
E:\Project\Fake News Detection\images\real\1824.jpg,real,,a group of people standing in front of a whiteboard,0,51,,
E:\Project\Fake News Detection\images\real\1825.jpg,real,50M $ Nigjlh৫ Camnere,the new smartphone is being displayed at the launch,21,51,0.062209025,
E:\Project\Fake News Detection\images\real\1829.jpg,real,3৬!>,a group of people standing in front of a building,4,49,0.051901568,
E:\Project\Fake News Detection\images\real\1841.jpg,real,GIGABYTE AMAILABLE NUW AMDE,the asus gaming pc with the logo on it,27,38,0.354968011,
E:\Project\Fake News Detection\images\real\1848.jpg,real,UCURITIUN EERENONY,the ribbon cutting ceremony,18,27,0.10064099,
E:\Project\Fake News Detection\images\real\1850.jpg,real,00 00 00100 00 0০,a tree with the words love lite on it,17,37,-0.002189025,
E:\Project\Fake News Detection\images\real\1853.jpg,real,,the chinese dance team performing a routine,0,43,,
E:\Project\Fake News Detection\images\real\1857.jpg,real,realme Raphinha realme Brand Ambassador,a man with a mohawk and a blue jacket,39,37,0.089547917,
E:\Project\Fake News Detection\images\real\1859.jpg,real,Launching the all new Samsung chest Freezer Solnnsung Chesrisenger Somsung Lounching hestrteczer Power Freeze,a group of people standing around a large sign,109,46,-0.069942757,
E:\Project\Fake News Detection\images\real\1861.jpg,real,,the dignitariess of the national security service association and the national security service association at the inauguration ceremony,0,136,,
E:\Project\Fake News Detection\images\real\1872.jpg,real,,the parliament chamber in new delhi,0,35,,
E:\Project\Fake News Detection\images\real\1907.jpg,real,,a woman is sleeping on her desk with her laptop,0,47,,
E:\Project\Fake News Detection\images\real\1925.jpg,real,Dhaka Chamberor commerce &lndustry(occi),a group of people sitting at a table,40,36,0.033733569,
E:\Project\Fake News Detection\images\real\1930.jpg,real,,people walking on a dusty street in delhi,0,41,,
E:\Project\Fake News Detection\images\real\1933.jpg,real,,a person holding a cell phone with a bunch of social icons,0,58,,
E:\Project\Fake News Detection\images\real\1959.jpg,real,ধংলাদেশ,the logo of the bangladesh bank,7,31,0.235335827,
E:\Project\Fake News Detection\images\real\1965.jpg,real,,a woman wearing a scarf and a scorpion,0,38,,
E:\Project\Fake News Detection\images\real\1979.jpg,real,,a man with dread dread dread dread dread dread dread dread dread dread dread dread dread dread dread dread dread dread,0,118,,
E:\Project\Fake News Detection\images\real\1986.jpg,real,শপলা সদহত] ঝমনান গড়,a man standing at a podium with balloons on the wall,20,52,0.071471818,
E:\Project\Fake News Detection\images\real\1988.jpg,real,শপথে চু মেট্রো পলিটন শান্তি বলিয়ান,the bangladesh air force logo,34,29,0.223233134,
E:\Project\Fake News Detection\images\real\1989.jpg,real,,a woman is shown with a bowl of chia seeds,0,42,,
E:\Project\Fake News Detection\images\real\1990.jpg,real,,a group of men sitting around a table,0,37,,
E:\Project\Fake News Detection\images\real\2001.jpg,real,,the logo for the company,0,24,,
E:\Project\Fake News Detection\images\real\2014.jpg,real,GIGABYTE reddot winner 2026,gig gig gig gig gig gig gig gig gig gig gig gig gig gig gig gig gig gig gig gig gig,27,83,0.450770885,
E:\Project\Fake News Detection\images\real\2023.jpg,real,"প্রত্যাগত বাংলাদেশী কল্যাণ সমিত ১০১০৪ স্থান ৪ জহর হোসেন চৌধুরী হল (২য় তলা) জাতীয় প্রেস ক্লাব, ঢাকা-১০০০ ইরাক-কুয়েত",the meeting held in the city of lucknow,117,39,0.293000013,
E:\Project\Fake News Detection\images\real\2025.jpg,real,Show,a man with glasses and a mustache,4,33,0.065023102,
E:\Project\Fake News Detection\images\real\203.jpg,real,World Health,a sign that says world health organization,12,42,0.671031475,
E:\Project\Fake News Detection\images\real\2031.jpg,real,,"anura and her husband, who is also a father",0,43,,
E:\Project\Fake News Detection\images\real\2034.jpg,real,,a man standing at a podium with a crowd behind him,0,50,,
E:\Project\Fake News Detection\images\real\2043.jpg,real,,a couple sitting on a couch in a courtyard,0,42,,
E:\Project\Fake News Detection\images\real\2047.jpg,real,,a group of men standing on a sidewalk,0,37,,
E:\Project\Fake News Detection\images\real\2053.jpg,real,,a man in a white shirt and tie,0,30,,
E:\Project\Fake News Detection\images\real\206.jpg,real,,guru nana,0,9,,
E:\Project\Fake News Detection\images\real\2067.jpg,real,তাদেরকে সংসঠের অধানে সংঘবদ ক্রা আমি অবশ্যই্ ভয় বিপদ এতং আয় কমমিয়ে দিয়ে তাদেরকে সুখবর দৎ সরা নাকায়া: ১৫৫],a man standing next to a sign that says ' india ',105,49,0.113603845,
E:\Project\Fake News Detection\images\real\2098.jpg,real,প্রতিবাদে ছ,the pakistan - pakistan peace rally in islamabad,11,48,0.144677505,
E:\Project\Fake News Detection\images\real\210.jpeg,real,Re- thinkiing Unmet Healthcare Needs and Dynamics of out-of-Pocket (OOP) Expenditurerin Bangladesh Protessor Ur Rnshed Al Mahmud Titumui Speaker,the meeting room of the punjab board of trusteess,144,49,0.132306904,
E:\Project\Fake News Detection\images\real\2106.jpeg,real,,a woman in a red dress standing against a wall,0,46,,
E:\Project\Fake News Detection\images\real\2110.jpg,real,,a group of people are gathered around a red carpet,0,50,,
E:\Project\Fake News Detection\images\real\2118.jpg,real,,a man in a suit and tie with a poppy on his lap,0,47,,
E:\Project\Fake News Detection\images\real\2140.jpg,real,মাও বলাহ মিয়াজী; ডাং ক্ল্যধিক ইরান | সলাঘ রাজশহী,prime person person addresses during a rally in new delhi on sunday pti photo,48,77,0.103276819,
E:\Project\Fake News Detection\images\real\2147.jpg,real,SAINA SANA SAFINAZ,a group of people standing in front of a store,18,46,0.03911268,
E:\Project\Fake News Detection\images\real\2149.jpg,real,,a woman in a dress standing in front of a tree,0,46,,
E:\Project\Fake News Detection\images\real\215.jpg,real,,a group of people sitting in chairs in a room,0,45,,
E:\Project\Fake News Detection\images\real\2161.jpg,real,শশেকানদের ওপরে হামল প্রতিব ২স,a man speaking at a press conference,29,36,0.062851712,
E:\Project\Fake News Detection\images\real\2163.jpg,real,,a woman in a black and white photo,0,34,,
E:\Project\Fake News Detection\images\real\2166.jpg,real,,the cast of the show celebrates with coning coning coning coning coning coning coning coning coning coning con,0,110,,
E:\Project\Fake News Detection\images\real\2175.jpg,real,,a man with a beard and sunglasses,0,33,,
E:\Project\Fake News Detection\images\real\2178.jpg,real,,the logo for the rock band,0,26,,
E:\Project\Fake News Detection\images\real\218.jpg,real,আলোচনা সভা ও দোয়া অনুষ্ঠান,a group of people sitting at a table,27,36,0.104123242,
E:\Project\Fake News Detection\images\real\219.jpeg,real,Roundliblebiscueson,a group of people sitting at a table,19,36,0.061798617,
E:\Project\Fake News Detection\images\real\2190.jpg,real,,the man is being carried on the bus by his friends,0,50,,
E:\Project\Fake News Detection\images\real\2197.jpg,real,,video no more than thandul thandul thandul thandul thandul thandul thandul thandul thandul thandul thandul thandul,0,114,,
E:\Project\Fake News Detection\images\real\2200.jpg,real,,the new era drive at the auto show,0,34,,
E:\Project\Fake News Detection\images\real\2202.jpg,real,৬A ৬A ৬A ৬A ১১১২৩৪,a lot of cars,18,13,0.073589444,
E:\Project\Fake News Detection\images\real\2212.jpg,real,KNOWLEDGEGORRIDOR BDUCATIONEXPO,a group of people sitting around a table,31,40,-0.046465401,
E:\Project\Fake News Detection\images\real\2215.jpg,real,2লকিলঁ 72 4 এর এরদোগান এগিয়ে যক্তির ইসজায সুবিধা দন লমান ১৩০,bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang,60,104,0.145621449,
E:\Project\Fake News Detection\images\real\2231.jpg,real,,a man in a wheelchair being assisted by a group of people,0,57,,
E:\Project\Fake News Detection\images\real\2240.jpg,real,,a man is being arrested by police officers,0,42,,
E:\Project\Fake News Detection\images\real\2256.jpg,real,RESPECI,crazno celebrates his goal against spain,7,40,0.239117712,
E:\Project\Fake News Detection\images\real\2261.jpg,real,,the logo of the bangladesh government,0,37,,
E:\Project\Fake News Detection\images\real\2269.jpg,real,,two women hugging each other women,0,34,,
E:\Project\Fake News Detection\images\real\2278.jpg,real,YB JPISWAL RAHUL 04,"india vs england 2nd test, day 3, day 3",19,39,0.370753407,
E:\Project\Fake News Detection\images\real\2283.jpg,real,JUIY ACRE,a man sitting at a desk with a computer,9,39,0.014196143,
E:\Project\Fake News Detection\images\real\229.jpg,real,ঘটকসেবা লক্ষ্মীপুর সবসমযয় স্বপত্রপাত্রী,a man is riding a cart with a sign on it,39,40,-0.002482917,
E:\Project\Fake News Detection\images\real\2293.jpg,real,902 EHERHES 900,a large white plane,15,19,0.179672942,
E:\Project\Fake News Detection\images\real\2319.jpg,real,দংলাদেশ,"a roll of money with the words, ' money roll '",7,46,0.096035115,
E:\Project\Fake News Detection\images\real\2324.jpg,real,MIEHIRNEWS AGENCY,a woman in a headscar sits at a table,17,37,-0.073698536,
E:\Project\Fake News Detection\images\real\233.jpg,real,,a man in a suit and tie speaking into a microphone,0,50,,
E:\Project\Fake News Detection\images\real\2331.jpg,real,{ N A,a crowd of people watching fireworks,5,36,0.041428789,
E:\Project\Fake News Detection\images\real\2332.jpg,real,,a man with a beard and glasses,0,30,,
E:\Project\Fake News Detection\images\real\2333.jpg,real,0,the logo for the canadian olympic games,1,39,0.140844703,
E:\Project\Fake News Detection\images\real\2344.jpg,real,চরিত বাংলাদেশ বিশ্ববিদ্যালয় কৃষি,the statue of the indian army in front of the indian army headquarters,33,70,0.066027589,
E:\Project\Fake News Detection\images\real\2347.jpg,real,2লকিলঁ 72 4 এর এরদোগান এগিয়ে যক্তির ইসজায সুবিধা দন লমান ১৩০,bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang,60,104,0.145621449,
E:\Project\Fake News Detection\images\real\2350.jpg,real,,a group of men standing around a table,0,38,,
E:\Project\Fake News Detection\images\real\2365.jpg,real,,two men shaking hands in front of flags,0,39,,
E:\Project\Fake News Detection\images\real\2366.jpg,real,টিভিতে আজকের খেলী,a soccer game on a tv screen,17,28,-0.007573905,
E:\Project\Fake News Detection\images\real\2367.jpg,real,2লকিলঁ 72 4 এর এরদোগান এগিয়ে যক্তির ইসজায সুবিধা দন লমান ১৩০,bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang,60,104,0.145621449,
E:\Project\Fake News Detection\images\real\2369.jpg,real,2লকিলঁ 72 4 এর এরদোগান এগিয়ে যক্তির ইসজায সুবিধা দন লমান ১৩০,bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang,60,104,0.145621449,
E:\Project\Fake News Detection\images\real\2374.jpg,real,রধি Dulch Bangia Bank PLAYEROFTHESEIES,a man holding a sign in front of a green field,38,46,0.033266187,
E:\Project\Fake News Detection\images\real\238.jpg,real,বিশ্ববিদ্যালয় ঢাকা,a man in a suit and tie standing next to a logo,19,47,-0.043674223,
E:\Project\Fake News Detection\images\real\2393.jpg,real,,kim jong kim jong and kim jong kim jong at the red carpet,0,57,,
E:\Project\Fake News Detection\images\real\240.jpeg,real,,a group of people sitting around a table,0,40,,
E:\Project\Fake News Detection\images\real\2402.jpg,real,,a crowd of women holding signs and flags,0,40,,
E:\Project\Fake News Detection\images\real\2408.jpg,real,HQ 33 INF DIV,"army chief, general, general, general, general, general, general, general, general, general, general, general, general, general",13,127,0.063082352,
E:\Project\Fake News Detection\images\real\2411.jpg,real,সন্ত্রাসী,a group of people standing outside of a building,9,48,-0.001167534,
E:\Project\Fake News Detection\images\real\2415.jpg,real,Agreement Signing Cerem,the team at the signing ceremony,23,32,0.445122033,
E:\Project\Fake News Detection\images\real\2416.jpg,real,,the supreme court in new delhi,0,30,,
E:\Project\Fake News Detection\images\real\2417.jpg,real,শিক্ষী * সরকার হুঁ,bangladesh bank logo,18,20,0.284707069,
E:\Project\Fake News Detection\images\real\2426.jpg,real,,a group of people standing around a table,0,41,,
E:\Project\Fake News Detection\images\real\243.jpeg,real,21 ৮7,a man in a suit and tie is looking at the camera,5,48,0.015241759,
E:\Project\Fake News Detection\images\real\2448.jpg,real,986 335,a group of people standing around a luggage,7,43,0.069825411,
